angle(deg)   sin       cos     sin+cos  
 10.000000  0.173648  0.984808  1.158456
 10.600000  0.183951  0.982935  1.166887
 11.200000  0.194234  0.980955  1.175190
 11.800000  0.204496  0.978867  1.183363
 12.400000  0.214735  0.976672  1.191408
 13.000000  0.224951  0.974370  1.199321
 13.600000  0.235142  0.971961  1.207103
 14.200000  0.245307  0.969445  1.214753
 14.800000  0.255446  0.966823  1.222269
 15.400000  0.265556  0.964095  1.229652
 16.000000  0.275637  0.961262  1.236899
 16.600000  0.285688  0.958323  1.244011
 17.200000  0.295708  0.955278  1.250986
 17.800000  0.305695  0.952129  1.257825
 18.400000  0.315649  0.948876  1.264525
 19.000000  0.325568  0.945519  1.271087
 19.600000  0.335452  0.942057  1.277509
 20.200000  0.345298  0.938493  1.283791
 20.800000  0.355107  0.934826  1.289933
 21.400000  0.364877  0.931056  1.295933
 22.000000  0.374607  0.927184  1.301790
 22.600000  0.384295  0.923210  1.307506
 23.200000  0.393942  0.919135  1.313077
 23.800000  0.403545  0.914960  1.318505
 24.400000  0.413104  0.910684  1.323788
 25.000000  0.422618  0.906308  1.328926
 25.600000  0.432086  0.901833  1.333918
 26.200000  0.441506  0.897258  1.338764
 26.800000  0.450878  0.892586  1.343463
 27.400000  0.460200  0.887815  1.348015
 28.000000  0.469472  0.882948  1.352419
 28.600000  0.478692  0.877983  1.356675
 29.200000  0.487860  0.872922  1.360782
 29.800000  0.496974  0.867765  1.364739
 30.400000  0.506034  0.862514  1.368547
 31.000000  0.515038  0.857167  1.372205
 31.600000  0.523986  0.851727  1.375713
 32.200000  0.532876  0.846193  1.379069
 32.800000  0.541708  0.840567  1.382275
 33.400000  0.550481  0.834848  1.385329
 34.000000  0.559193  0.829038  1.388230
 34.600000  0.567844  0.823136  1.390980
 35.200000  0.576432  0.817145  1.393577
 35.800000  0.584958  0.811064  1.396021
 36.400000  0.593419  0.804894  1.398313
 37.000000  0.601815  0.798636  1.400451
 37.600000  0.610145  0.792290  1.402435
 38.200000  0.618408  0.785857  1.404265
 38.800000  0.626604  0.779338  1.405942
 39.400000  0.634731  0.772734  1.407464
 40.000000  0.642788  0.766044  1.408832
 40.600000  0.650774  0.759271  1.410046
 41.200000  0.658689  0.752415  1.411104
 41.800000  0.666532  0.745476  1.412008
 42.400000  0.674302  0.738455  1.412758
 43.000000  0.681998  0.731354  1.413352
 43.600000  0.689620  0.724172  1.413791
 44.200000  0.697165  0.716911  1.414076
 44.800000  0.704634  0.709571  1.414205
 45.400000  0.712026  0.702153  1.414179
 46.000000  0.719340  0.694658  1.413998
 46.600000  0.726575  0.687088  1.413662
 47.200000  0.733730  0.679441  1.413171
 47.800000  0.740805  0.671721  1.412525
 48.400000  0.747798  0.663926  1.411724
 49.000000  0.754710  0.656059  1.410769
 49.600000  0.761538  0.648120  1.409658
 50.200000  0.768284  0.640110  1.408393
 50.800000  0.774944  0.632029  1.406974
 51.400000  0.781520  0.623880  1.405400
 52.000000  0.788011  0.615661  1.403672
 52.600000  0.794415  0.607376  1.401790
 53.200000  0.800731  0.599024  1.399755
 53.800000  0.806960  0.590606  1.397566
 54.400000  0.813101  0.582123  1.395224
 55.000000  0.819152  0.573576  1.392728
 55.600000  0.825113  0.564967  1.390081
 56.200000  0.830984  0.556296  1.387280
 56.800000  0.836764  0.547563  1.384328
 57.400000  0.842452  0.538771  1.381223
 58.000000  0.848048  0.529919  1.377967
 58.600000  0.853551  0.521010  1.374560
 59.200000  0.858960  0.512043  1.371003
 59.800000  0.864275  0.503020  1.367295
