angle(deg)   sin    
 11.200000  0.194234
 13.000000  0.224951
 14.800000  0.255446
 16.600000  0.285688
 18.400000  0.315649
 20.200000  0.345298
 22.000000  0.374607
 23.800000  0.403545
 25.600000  0.432086
 27.400000  0.460200
 29.200000  0.487860
 31.000000  0.515038
 32.800000  0.541708
 34.600000  0.567844
 36.400000  0.593419
 38.200000  0.618408
 40.000000  0.642788
 41.800000  0.666532
 43.600000  0.689620
 45.400000  0.712026
 47.200000  0.733730
 49.000000  0.754710
 50.800000  0.774944
 52.600000  0.794415
 54.400000  0.813101
 56.200000  0.830984
 58.000000  0.848048
 59.800000  0.864275
